window,miu,be,sig,a,p,LogL
163,0.362470248,0.957683651,0.148614642,0.303277851,5.504151923,-9211.238858
164,0.418803536,0.955384944,0.149289352,0.290154254,5.49532776,-9190.706514
165,0.468473572,0.953276675,0.148888541,0.281845422,5.496770074,-9192.948609
166,0.458369351,0.969335088,0.141936702,0.271711845,5.537759661,-9198.166246
167,0.409987322,0.960045557,0.149948817,0.298259808,5.498804759,-9195.031465
168,0.39966249,0.959958625,0.152217691,0.299942289,5.505622893,-9193.779377
169,0.399901541,0.960009627,0.150959368,0.301555908,5.499979317,-9194.600051
170,0.421264113,0.959993129,0.159987897,0.308230601,5.499984144,-9202.384957
171,0.318113842,0.959980542,0.149998492,0.299995024,5.49995507,-9196.470115
172,0.391014137,0.959919398,0.167025951,0.299971701,5.499920567,-9189.958743
173,0.41186237,0.959999473,0.16003312,0.299992875,5.499968242,-9190.429079
174,0.398823792,0.959992825,0.150000734,0.304921759,5.510688324,-9194.981762
175,0.446714337,0.959978103,0.168052272,0.299994385,5.499949469,-9185.349916
176,0.390344415,0.963602178,0.151839581,0.300994859,5.528930539,-9200.033305
177,0.402011839,0.960021746,0.151556292,0.299566299,5.500206054,-9199.991069
178,0.369898192,0.938891357,0.181856534,0.274056385,5.614596816,-9180.313302
179,0.364609249,0.960006106,0.149969469,0.299898231,5.499084077,-9197.73288
180,0.394166455,0.960003312,0.160611759,0.299996049,5.506437622,-9200.277281
181,0.365602133,0.960005204,0.149973982,0.299913275,5.499219474,-9200.62457
182,0.391286764,0.960011235,0.149916708,0.299944803,5.50059477,-9193.316234
183,0.401825778,0.959939644,0.15256551,0.299797678,5.498820082,-9188.683651
184,0.438026263,0.959953007,0.149996385,0.299987951,5.499891556,-9199.967769
185,0.413035694,0.959610541,0.150653011,0.303381844,5.500869229,-9192.299958
186,0.443542384,0.957879471,0.1965946,0.299705475,5.504044826,-9198.100357
187,0.648012024,0.943185257,0.161310886,0.289858542,5.500806971,-9191.859083
188,0.412164176,0.954861786,0.145609079,0.300618366,5.511825752,-9192.166766
189,0.380584645,0.959988511,0.149999116,0.299997054,5.502027356,-9195.298271
190,0.395017744,0.951670591,0.16516934,0.271829015,5.483702688,-9183.90252
191,0.396380185,0.959522863,0.152244747,0.303107817,5.499897457,-9192.040557
