"miu","be","sig","a","LogL","AIC","BIC"
0.391490497,0.872786897,0.343011874,0.34739647,-9341.786098,18691.5722,18718.50593
0.867161431,0.957653906,0.202842244,0.499806995,-9342.183191,18692.36638,18719.30011
0.587870331,0.89778511,0.235461409,0.574349757,-9342.230727,18692.46145,18719.39519
0.369708712,0.727890528,0.535347255,0.81901668,-9342.397811,18692.79562,18719.72935
0.867052149,0.986527223,0.153346831,0.419277873,-9342.583199,18693.1664,18720.10013
0.590284671,0.969287311,0.154477316,0.321054206,-9342.736567,18693.47313,18720.40687
0.644121946,0.943833508,0.161020318,0.326501017,-9342.899347,18693.79869,18720.73243
0.548789626,0.980344052,0.150843169,0.479447962,-9342.999315,18693.99863,18720.93236
0.737027151,0.857446439,0.424045687,0.635333297,-9343.190244,18694.38049,18721.31422
0.974341893,0.954137145,0.293545401,0.496972097,-9343.445359,18694.89072,18721.82445
0.76617979,0.974150218,0.138638505,0.387282136,-9344.214018,18696.42804,18723.36177
0.822854016,0.930961678,0.35719865,0.504025045,-9344.734325,18697.46865,18724.40238
0.877614766,0.936905063,0.319560546,0.549723276,-9344.769729,18697.53946,18724.47319
0.593451576,0.965026547,0.290461101,0.534649518,-9345.121917,18698.24383,18725.17757
0.649101393,0.95210057,0.244531494,0.329374404,-9346.777787,18701.55557,18728.48931
0.628939003,0.794006984,0.532611838,0.602104406,-9346.834674,18701.66935,18728.60308
0.867104414,0.92003199,0.293087268,0.541708703,-9346.838686,18701.67737,18728.6111
0.618676135,0.955510334,0.173639033,0.540163095,-9347.827969,18703.65594,18730.58967
0.699053255,0.880056849,0.310722374,0.362712579,-9347.843219,18703.68644,18730.62017
0.606673986,0.957448318,0.150232102,0.311919335,-9348.062034,18704.12407,18731.0578
0.808481757,0.894182824,0.339773508,0.404275348,-9348.068114,18704.13623,18731.06996
0.753436374,0.987378731,0.218262751,0.415098469,-9348.162203,18704.32441,18731.25814
0.635183926,0.833815332,0.2725128,0.493841346,-9348.254493,18704.50899,18731.44272
0.433835358,0.940940539,0.144868277,0.325954185,-9348.272039,18704.54408,18731.47781
0.67129452,0.980459186,0.148546101,0.362858439,-9348.382159,18704.76432,18731.69805
0.691596603,0.951978328,0.325205503,0.445328666,-9348.694211,18705.38842,18732.32215
0.584002784,0.874388836,0.303352764,0.654067796,-9349.785603,18707.57121,18734.50494
0.686840071,0.972446197,0.175712998,0.328651574,-9350.098076,18708.19615,18735.12988
0.653891243,0.885902674,0.292782863,0.627974799,-9350.113126,18708.22625,18735.15998
0.500858441,0.564788997,0.607402391,0.735309768,-9350.334629,18708.66926,18735.60299
0.706202849,0.946601825,0.23910574,0.565544933,-9350.493966,18708.98793,18735.92166
0.523454837,0.745117696,0.34171636,0.519325492,-9351.005461,18710.01092,18736.94465
0.643766856,0.942828403,0.142172691,0.405185413,-9351.075149,18710.1503,18737.08403
0.596164759,0.780525299,0.424649469,0.407399939,-9351.224639,18710.44928,18737.38301
0.622270074,0.880940757,0.382036499,0.673922399,-9351.260268,18710.52054,18737.45427
0.607317531,0.928772041,0.153256041,0.343648998,-9351.282588,18710.56518,18737.49891
0.796968085,0.972220788,0.153944196,0.44696599,-9351.326025,18710.65205,18737.58578
0.846335251,0.980083804,0.260519856,0.517049092,-9351.43287,18710.86574,18737.79947
