Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.631103529,0.966209429,0.151252371,0.316964523,5.502338616,-9201.762922,18413.52584,18447.19301
Estimate,0.603035075,0.971919782,0.15284936,0.337954005,5.505154766,-9198.393302,18406.7866,18440.45377
Estimate,0.599342334,0.960648106,0.121506896,0.33884877,5.5120765,-9209.945931,18429.89186,18463.55903
Estimate,0.779416809,0.96140988,0.144891109,0.328319755,5.588536797,-9212.205937,18434.41187,18468.07904
Estimate,0.560963985,0.963169164,0.135828833,0.322268316,5.49930179,-9194.161756,18398.32351,18431.99068
Estimate,0.58021711,0.960710878,0.110267523,0.307855522,5.524238753,-9214.406488,18438.81298,18472.48014
Estimate,0.563792452,0.938127847,0.170218797,0.332153315,5.508679455,-9187.865469,18385.73094,18419.3981
Estimate,0.616769718,0.96115335,0.154681859,0.328664451,5.523946628,-9198.572013,18407.14403,18440.81119
Estimate,0.580796186,0.969542185,0.136337918,0.311808263,5.527763541,-9208.777557,18427.55511,18461.22228
Estimate,0.702278528,0.960579882,0.151824888,0.305193859,5.550162213,-9209.984201,18429.9684,18463.63557
Estimate,0.677627374,0.969857374,0.168353669,0.338060394,5.530786364,-9207.409648,18424.8193,18458.48646
Estimate,0.631039234,0.922404915,0.182212489,0.318913486,5.713442755,-9198.487454,18406.97491,18440.64207
Estimate,0.668634562,0.948595126,0.137332888,0.31137847,5.650453266,-9214.471969,18438.94394,18472.6111
Estimate,0.602454764,0.969572156,0.168223691,0.333659688,5.518999298,-9204.911141,18419.82228,18453.48945
Estimate,0.716917375,0.954220047,0.158858368,0.322730912,5.496303337,-9209.888597,18429.77719,18463.44436
Estimate,0.60548518,0.974362454,0.12412971,0.31379998,5.526262669,-9204.621472,18419.24294,18452.91011
Estimate,0.611474341,0.951399243,0.145461024,0.338883211,5.554080363,-9198.79194,18407.58388,18441.25105
Estimate,0.646250289,0.931275119,0.166706993,0.33677263,5.472467125,-9203.949306,18417.89861,18451.56578
Estimate,0.66551332,0.952108141,0.147531758,0.333715131,5.507861406,-9206.837709,18423.67542,18457.34258
Estimate,0.507380095,0.970000808,0.09999596,0.310528676,5.499818205,-9213.482299,18436.9646,18470.63176
Estimate,0.550872672,0.968684836,0.14939833,0.345442531,5.540930487,-9209.979572,18429.95914,18463.62631
Estimate,0.659279944,0.970288382,0.119054259,0.309022763,5.500464452,-9209.934135,18429.86827,18463.53543
